[ 2025-03-19 13:23:40,592 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-19 13:23:42,477 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-19 13:23:42,477 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-19 13:23:42,477 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-19 13:23:42,488 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-19 13:23:42,488 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-19 13:23:42,492 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-19 13:23:42,513 ] 32 root - INFO - Required number of columns:2
[ 2025-03-19 13:23:42,513 ] 33 root - INFO - Data frame has columns:8
[ 2025-03-19 13:23:42,513 ] 32 root - INFO - Required number of columns:2
[ 2025-03-19 13:23:42,513 ] 33 root - INFO - Data frame has columns:8
[ 2025-03-19 13:23:42,533 ] 28 root - INFO - data Validation Completed
